Vehicle_name,Sports,Sport_utility,Wagon,Minivan,Pickup,All_wheel_drive,Rear_wheel_drive,Retail_price,Dealer_cost,Engine_size,Cylinders,Kilowatts,Economy_city,Economy_highway,Weight,Wheel_base,Length,Width
Volvo C70 HPT convertible 2dr,0,0,0,0,0,0,0,85130,80166,2.3,5,180,32,42,1565,267,472,183
Volvo S80 T6 4dr,0,0,0,0,0,0,0,90420,85146,2.9,6,200,31,42,1657,279,483,183
Acura NSX coupe 2dr manual S,1,0,0,0,0,0,1,179530,159956,3.2,6,216,27,38,1430,254,442,180
Audi RS 6 4dr,1,0,0,0,0,0,0,169200,152834,4.2,8,336,24,35,1825,277,485,198
Audi TT 1.8 convertible 2dr (coupe),1,0,0,0,0,0,0,71880,65024,1.8,4,134,32,45,1420,241,404,185
Audi TT 1.8 Quattro 2dr (convertible),1,0,0,0,0,1,0,74780,67782,1.8,4,168,32,45,1325,244,404,185
Audi TT 3.2 coupe 2dr (convertible),1,0,0,0,0,1,0,81180,73478,3.2,6,186,34,47,1520,244,404,185
BMW M3 coupe 2dr,1,0,0,0,0,0,1,96390,88340,3.2,6,248,26,38,1549,274,450,178
BMW M3 convertible 2dr,1,0,0,0,0,0,1,113190,103630,3.2,6,248,26,37,1715,274,450,178
BMW Z4 convertible 2.5i 2dr,1,0,0,0,0,0,1,67790,62130,2.5,6,137,32,45,1330,249,409,178
BMW Z4 convertible 3.0i 2dr,1,0,0,0,0,0,1,82090,75150,3,6,168,34,47,1360,249,409,178
Cadillac XLR convertible 2dr,1,0,0,0,0,0,1,152400,141092,4.6,8,239,27,40,1654,269,452,183
Chevrolet Corvette 2dr,1,0,0,0,0,0,1,89070,78136,5.7,8,261,29,40,1472,267,457,188
Chevrolet Corvette convertible 2dr,1,0,0,0,0,0,1,103070,90386,5.7,8,261,29,40,1473,267,457,188
Chrysler Crossfire 2dr,1,0,0,0,0,0,1,68990,64066,3.2,6,160,27,40,1388,241,406,178
Dodge Viper SRT-10 convertible 2dr,1,0,0,0,0,0,1,163590,148902,8.3,10,373,,,1547,251,447,191
Ford Mustang 2dr (convertible),1,0,0,0,0,0,1,36690,33886,3.8,6,144,32,47,1492,257,465,185
Ford Mustang GT Premium convertible 2dr,1,0,0,0,0,0,1,58760,53750,4.6,8,194,27,40,1518,257,465,185
Ford Thunderbird Deluxe convert w/hardtop 2dr,1,0,0,0,0,0,0,75060,68966,3.9,8,209,27,38,1715,272,472,183
Honda S2000 convertible 2dr,1,0,0,0,0,0,1,66520,59930,2.2,4,179,32,40,1286,241,411,175
Hyundai Tiburon GT V6 2dr,1,0,0,0,0,0,0,37478,34202,2.7,6,128,31,42,1371,254,439,175
Jaguar XK8 coupe 2dr,1,0,0,0,0,0,1,139990,127512,4.2,8,219,29,42,1714,259,475,180
Jaguar XK8 convertible 2dr,1,0,0,0,0,0,1,149990,136612,4.2,8,219,29,42,1805,259,475,180
Jaguar XKR coupe 2dr,1,0,0,0,0,0,1,163990,149352,4.2,8,291,26,37,1753,259,475,180
Jaguar XKR convertible 2dr,1,0,0,0,0,0,1,173990,158452,4.2,8,291,26,37,1833,259,475,180
Lexus SC 430 convertible 2dr,1,0,0,0,0,0,1,126400,110126,4.3,8,224,29,37,1742,262,452,183
Mazda MX-5 Miata convertible 2dr,1,0,0,0,0,0,1,44776,41402,1.8,4,106,37,45,1083,226,396,168
Mazda MX-5 Miata LS convertible 2dr,1,0,0,0,0,0,1,50386,46570,1.8,4,106,37,45,1083,226,396,168
Mazda RX-8 4dr automatic,1,0,0,0,0,0,1,51400,47588,1.3,-1,147,29,40,1385,269,442,
Mazda RX-8 4dr manual,1,0,0,0,0,0,1,54400,50358,1.3,-1,177,29,38,1374,269,442,
Mercedes-Benz SL500 convertible 2dr,1,0,0,0,0,0,1,181040,168650,5,8,225,26,37,1844,257,455,183
Mercedes-Benz SL55 AMG 2dr,1,0,0,0,0,0,1,243540,226776,5.5,8,368,23,34,1921,257,455,183
Mercedes-Benz SL600 convertible 2dr,1,0,0,0,0,0,1,253340,235708,5.5,12,368,21,30,2009,257,455,183
Mercedes-Benz SLK230 convertible 2dr,1,0,0,0,0,0,1,80640,75096,2.3,4,143,34,47,1386,241,401,173
Mercedes-Benz SLK32 AMG 2dr,1,0,0,0,0,0,1,112340,104578,3.2,6,260,27,35,1461,241,401,173
Mitsubishi Eclipse GTS 2dr,1,0,0,0,0,0,0,50184,46912,3,6,157,34,45,1470,257,450,175
Mitsubishi Eclipse Spyder GT convertible 2dr,1,0,0,0,0,0,0,53984,50436,3,6,157,34,45,1495,257,450,175
Mitsubishi Lancer Evolution 4dr,1,0,0,0,0,0,0,59124,54932,2,4,202,29,42,1480,262,455,178
Nissan 350Z coupe 2dr,1,0,0,0,0,0,1,53820,50406,3.5,6,214,32,42,1446,264,429,183
Nissan 350Z Enthusiast convertible 2dr,1,0,0,0,0,0,1,68780,63690,3.5,6,214,32,42,1555,264,429,183
Pontiac GTO 2dr,1,0,0,0,0,0,1,67000,61420,5.7,8,254,,,1690,279,483,185
Porsche 911 Carrera convertible 2dr (coupe),1,0,0,0,0,0,1,158330,138458,3.6,6,235,29,42,1422,236,445,178
Porsche 911 Carrera 4S coupe 2dr (convert),1,0,0,0,0,1,0,168330,144412,3.6,6,235,27,38,1470,236,445,183
Porsche 911 Targa coupe 2dr,1,0,0,0,0,0,1,153530,134256,3.6,6,235,29,42,1415,236,445,178
Porsche 911 GT2 2dr,1,0,0,0,0,0,1,384930,347120,3.6,6,356,27,38,1420,236,445,183
Porsche Boxster convertible 2dr,1,0,0,0,0,0,1,86730,75772,2.7,6,170,32,47,1275,241,432,178
Porsche Boxster S convertible 2dr,1,0,0,0,0,0,1,104730,91532,3.2,6,192,29,42,1320,241,432,178
Subaru Impreza WRX 4dr,1,0,0,0,0,1,0,50090,46044,2,4,169,32,43,1399,251,442,175
Subaru Impreza WRX STi 4dr,1,0,0,0,0,1,0,63090,58260,2.5,4,224,29,38,1480,254,442,175
Toyota Celica GT-S 2dr,1,0,0,0,0,0,0,45140,40726,1.8,4,134,39,53,1134,259,434,173
Toyota MR2 Spyder convertible 2dr,1,0,0,0,0,0,1,50260,45574,1.8,4,103,42,52,996,246,389,170
Cadillac Escaladet,0,1,0,0,0,0,0,105590,96754,5.3,8,220,23,29,2434,295,505,201
Cadillac SRX V8,0,1,0,0,0,0,0,93990,87046,4.6,8,239,26,34,1951,295,495,185
Chevrolet Suburban 1500 LT,0,1,0,0,0,0,0,85470,74844,5.3,8,220,23,29,2244,330,556,201
Chevrolet Tahoe LT,0,1,0,0,0,1,0,82930,72574,5.3,8,220,23,29,2291,295,500,201
Dodge Durango SLT,0,1,0,0,0,1,0,64470,58944,4.7,8,172,24,34,2262,302,511,193
Ford Excursion 6.8 XLT,0,1,0,0,0,1,0,82950,72988,6.8,10,231,,,3261,348,577,203
Ford Expedition 4.6 XLT,0,1,0,0,0,0,0,69120,60936,4.6,8,173,24,30,2268,302,523,201
GMC Envoy XUV SLE,0,1,0,0,0,0,0,63780,57844,4.2,6,205,24,30,2243,328,528,191
CMC Yukon 1500 SLE,0,1,0,0,0,0,0,71450,62722,4.8,8,213,26,30,2287,295,505,201
GMC Yukon XL 2500 SLT,0,1,0,0,0,1,0,92530,81068,6,8,242,21,27,2782,330,556,201
Hummer H2,0,1,0,0,0,1,0,99990,91630,6,8,236,16,19,2903,312,483,206
Isuzu Ascender S,0,1,0,0,0,1,0,63698,59954,4.2,6,205,24,32,2253,328,528,193
Lincoln Navigator Luxury,0,1,0,0,0,1,0,105550,92720,5.4,8,224,21,29,2707,302,523,203
Nissan Pathfinder Armada SE,0,1,0,0,0,0,0,67680,61630,5.6,8,227,21,30,2274,312,526,201
Toyota Sequoia SR5,0,1,0,0,0,1,0,71390,63654,4.7,8,179,23,27,2390,300,518,198
Acura MDX,0,1,0,0,0,1,0,73890,66674,3.5,6,198,27,37,2019,269,480,196
BMW X3 3.0i,0,1,0,0,0,1,0,74000,67746,3,6,168,26,37,1825,279,457,185
BMW X5 4.4i,0,1,0,0,0,1,0,104390,95440,4.4,8,242,26,35,2188,282,467,188
Buick Rainier,0,1,0,0,0,1,0,75790,68714,4.2,6,205,24,34,2087,287,490,191
Buick Rendezvous CX,0,1,0,0,0,0,0,53090,48170,3.4,6,138,31,42,1825,284,475,188
Chevrolet TrailBlazer LT,0,1,0,0,0,0,0,60590,54958,4.2,6,205,26,34,2007,287,488,191
Ford Explorer XLT V6,0,1,0,0,0,1,0,59340,53966,4,6,157,24,32,2024,290,483,183
Honda Pilot LX,0,1,0,0,0,1,0,55120,49686,3.5,6,179,27,35,1990,269,478,196
Isuzu Rodeo S,0,1,0,0,0,0,0,40898,38522,3.2,6,144,27,34,1740,269,452,178
Jeep Grand Cherokee Laredo,0,1,0,0,0,0,0,55810,51372,4,6,145,26,34,1719,269,460,183
Kia Sorento LX,0,1,0,0,0,0,0,39270,37260,3.5,6,143,26,30,1865,272,457,185
Land Rover Range Rover HSE,0,1,0,0,0,1,0,144500,131614,4.4,8,210,19,26,2440,287,495,193
Lexus GX 470,0,1,0,0,0,1,0,91400,79676,4.7,8,175,24,30,2150,279,478,188
Lexus LX 470,0,1,0,0,0,1,0,129600,112910,4.7,8,175,21,27,2536,284,490,193
Lexus RX 330,0,1,0,0,0,1,0,78390,69152,3.3,6,172,29,38,1844,272,472,185
Lincoln Aviator Ultimate,0,1,0,0,0,0,0,85830,78886,4.6,8,225,21,29,2193,290,490,193
Mercedes-Benz G500,0,1,0,0,0,1,0,153740,143080,5,8,218,21,23,2460,284,472,180
Mercedes-Benz ML500,0,1,0,0,0,1,0,92940,86536,5,8,215,23,27,2211,282,465,183
Mercury Mountaineer,0,1,0,0,0,0,0,59990,54634,4,6,157,26,34,1984,290,483,183
Mitsubishi Endeavor XLS,0,1,0,0,0,1,0,60984,56660,3.8,6,160,27,34,1875,277,483,188
Mitsubishi Montero XLS,0,1,0,0,0,1,0,66224,61526,3.8,6,160,24,30,2140,279,483,191
Nissan Pathfinder SE,0,1,0,0,0,0,0,54678,51944,3.5,6,179,26,34,1756,269,465,183
Pontiac Aztekt,0,1,0,0,0,0,0,43190,39620,3.4,6,138,31,42,1714,274,462,188
Porsche Cayenne S,0,1,0,0,0,1,0,113330,99730,4.5,8,254,23,29,2245,284,478,193
Saturn VUE,0,1,0,0,0,1,0,41170,38476,2.2,4,107,34,42,1534,272,460,183
Suzuki XL-7 EX,0,1,0,0,0,0,0,47398,44614,2.7,6,138,29,35,1670,279,475,178
Toyota 4Runner SR5 V6,0,1,0,0,0,0,0,55420,49602,4,6,183,29,34,1830,279,480,188
Toyota Highlander V6,0,1,0,0,0,1,0,55860,49830,3.3,6,172,29,38,1785,272,470,183
Toyota Land Cruiser,0,1,0,0,0,1,0,109530,95972,4.7,8,242,21,27,2445,284,490,193
Volkswagen Touareg V6,0,1,0,0,0,1,0,71030,64486,3.2,6,164,24,32,2307,284,475,193
Volvo XC90 T6,0,1,0,0,0,1,0,82500,77702,2.9,6,200,24,32,2104,287,480,191
Chevrolet Tracker,0,1,0,0,0,0,0,40510,38216,2.5,6,123,31,35,1300,249,414,170
Ford Escape XLS,0,1,0,0,0,1,0,45030,41814,3,6,150,29,37,1518,262,439,178
Honda CR-V LX,0,1,0,0,0,1,0,39720,36838,2.4,4,119,34,40,1478,262,455,178
Honda Element LX,0,1,0,0,0,1,0,37380,34668,2.4,4,119,34,38,1573,257,424,183
Hyundai Santa Fe GLS,0,1,0,0,0,0,0,43178,40402,2.7,6,129,32,42,1610,262,450,185
Jeep Liberty Sport,0,1,0,0,0,1,0,40260,37946,2.4,4,112,32,38,1735,264,442,183
Jeep Wrangler Sahara convertible 2dr,0,1,0,0,0,1,0,51040,46550,4,6,142,26,30,1622,236,381,170
Land Rover Discovery SE,0,1,0,0,0,1,0,78500,71554,4.6,8,162,19,26,2076,254,470,188
Land Rover Freelander SE,0,1,0,0,0,1,0,51990,47938,2.5,6,130,29,34,1623,257,445,180
Mazda Tribute DX 2.0,0,1,0,0,0,1,0,42174,39484,2,4,97,35,40,1402,262,439,183
Mitsubishi Outlander LS,0,1,0,0,0,0,0,37784,35138,2.4,4,119,34,43,1470,262,455,175
Nissan Xterra XE V6,0,1,0,0,0,0,0,41878,39024,3.3,6,134,27,32,1706,264,452,178
Suzuki Vitara LX,0,1,0,0,0,1,0,34326,33898,2.5,6,123,31,35,1370,249,414,170
Toyota RAV4,0,1,0,0,0,1,0,40580,37106,2.4,4,120,35,43,1415,249,424,173
Audi A6 3.0 Avant Quattro,0,0,1,0,0,1,0,81680,74120,3,6,164,29,40,1830,277,488,180
Audi S4 Avant Quattro,0,0,1,0,0,1,0,98180,88892,4.2,8,254,24,34,1785,264,455,178
BMW 325xi Sport,0,0,1,0,0,1,0,65690,60220,2.5,6,137,31,42,1630,272,447,175
Chevrolet Malibu Maxx LS,0,0,1,0,0,0,0,44450,40788,3.5,6,149,35,48,1569,284,478,178
Chrysler Pacifica,0,0,1,0,0,0,1,62460,57450,3.5,6,186,27,37,2121,295,505,201
Ford Focus ZTW,0,0,1,0,0,0,0,34950,32750,2,4,97,42,53,1226,262,452,170
Ford Taurus SE,0,0,1,0,0,0,0,44580,40914,3,6,116,31,42,1586,277,503,185
Infiniti FX35,0,0,1,0,0,0,1,69790,63512,3.5,6,209,26,35,1840,284,480,193
Infiniti FX45,0,0,1,0,0,1,0,72790,66242,4.5,8,235,24,30,1955,284,480,193
Kia Rio Cinco,0,0,1,0,0,0,0,23810,22820,1.6,4,78,42,53,1110,241,424,168
Lexus IS 300 SportCross,0,0,1,0,0,0,1,64910,57294,3,6,160,29,38,1547,267,450,173
Mercedes-Benz C240,0,0,1,0,0,0,1,67560,62932,2.6,6,125,31,40,1574,272,455,173
Mercedes-Benz E320,0,0,1,0,0,0,1,101340,94348,3.2,6,165,31,43,1799,284,483,180
Mercedes-Benz E500,0,0,1,0,0,1,0,121340,112948,5,8,225,26,38,1919,284,483,180
Mercury Sable GS,0,0,1,0,0,0,0,45190,41496,3,6,116,31,42,1582,277,503,185
Mitsubishi Lancer Sportback LS,0,0,1,0,0,0,0,34990,32590,2.4,4,119,,,1370,259,460,170
Nissan Murano SL,0,0,1,0,0,0,1,57478,54600,3.5,6,183,32,40,1724,282,478,188
Pontiac Vibe,0,0,1,0,0,0,1,34090,31946,1.8,4,97,47,58,1225,259,437,178
Saab 9-5 Aero,0,0,1,0,0,0,0,81690,76752,2.3,4,186,31,47,1642,269,483,180
Saturn L300 2,0,0,1,0,0,0,0,47120,43558,2.2,4,104,39,55,1410,272,483,175
Scion xB,0,0,1,0,0,0,0,28330,26960,1.5,4,81,50,56,1100,249,394,170
Subaru Forester X,0,0,1,0,0,1,0,42890,39292,2.5,4,123,34,45,1402,251,445,173
Subaru Outback,0,0,1,0,0,1,0,47790,43546,2.5,4,123,34,45,1556,264,475,175
Suzuki Aerio SX,0,0,1,0,0,1,0,32994,32582,2.3,4,116,39,47,1330,249,424,173
Toyota Matrix XR,0,0,1,0,0,0,0,33390,30312,1.8,4,97,47,58,1215,259,434,178
Volkswagen Jetta GL,0,0,1,0,0,0,0,38010,34854,2,4,86,39,48,1376,251,442,173
Volkswagen Passat GLS 1.8T,0,0,1,0,0,0,0,49910,45602,1.8,4,127,35,50,1514,269,467,175
Volkswagen Passat W8,0,0,1,0,0,0,0,80470,73912,4,8,201,29,40,1845,269,467,175
Volvo V40,0,0,1,0,0,0,0,52270,49282,1.9,4,127,35,47,1280,257,457,173
Volvo XC70,0,0,1,0,0,1,0,70290,66224,2.5,5,155,32,43,1734,277,472,185
Chevrolet Astro,0,0,0,1,0,1,0,52790,47908,4.3,6,142,23,27,2089,282,483,198
Chevrolet Venture LS,0,0,0,1,0,0,0,54040,49036,3.4,6,138,31,42,1678,284,475,183
Chrysler Town and Country LX,0,0,0,1,0,0,0,54980,50742,3.3,6,134,31,42,1845,302,511,201
Chrysler Town and Country Limited,0,0,0,1,0,0,0,76760,70126,3.8,6,160,29,40,1965,302,511,201
Dodge Caravan SE,0,0,0,1,0,0,0,43590,41016,2.4,4,112,32,42,1752,287,480,201
Dodge Grand Caravan SXT,0,0,0,1,0,1,0,65320,59624,3.8,6,160,29,40,2014,302,511,201
Ford Freestar SE,0,0,0,1,0,0,0,53860,48996,3.9,6,144,27,37,1939,307,511,196
GMC Safari SLE,0,0,0,1,0,0,1,51280,46430,4.3,6,142,26,32,1955,282,483,198
Honda Odyssey LX,0,0,0,1,0,0,0,49900,44996,3.5,6,179,29,40,1955,300,511,193
Honda Odyssey EX,0,0,0,1,0,0,0,54900,49488,3.5,6,179,29,40,1980,300,511,193
Kia Sedona LX,0,0,0,1,0,0,0,41230,38800,3.5,6,145,26,35,2178,292,493,191
Mazda MPV ES,0,0,0,1,0,0,0,57500,53200,3,6,149,29,40,1729,284,478,183
Mercury Monterey Luxury,0,0,0,1,0,0,0,67990,61692,4.2,6,150,26,37,1969,307,513,196
Nissan Quest S,0,0,0,1,0,0,0,49560,45916,3.5,6,179,31,42,1820,315,518,198
Nissan Quest SE,0,0,0,1,0,0,0,65560,60038,3.5,6,179,29,40,1894,315,518,198
Oldsmobile Silhouette GL,0,0,0,1,0,0,0,57580,52240,3.4,6,138,31,42,1791,305,511,183
Pontiac Montana,0,0,0,1,0,0,0,47690,43288,3.4,6,138,31,42,1725,284,475,183
Pontiac Montana EWB,0,0,0,1,0,1,0,62740,56908,3.4,6,138,29,38,2010,307,511,183
Toyota Sienna CE,0,0,0,1,0,0,0,46990,42396,3.3,6,172,31,43,1869,302,508,196
Toyota Sienna XLE Limited,0,0,0,1,0,0,0,57600,51380,3.3,6,172,31,43,1889,302,508,196
Cadillac Escalade EXT,0,0,0,0,1,1,0,105950,97082,6,8,257,21,27,2667,330,,
Chevrolet Avalanche 1500,0,0,0,0,1,1,0,72200,63378,5.3,8,220,23,29,2576,330,,
Chevrolet Colorado Z85,0,0,0,0,1,1,0,37520,34140,2.8,4,130,29,37,1643,282,,
Chevrolet Silverado 1500 Regular Cab,0,0,0,0,1,0,1,40620,36960,4.3,6,149,24,34,1879,302,,
Chevrolet Silverado SS,0,0,0,0,1,1,0,80680,70798,6,8,224,21,27,2179,366,,
Chevrolet SSR,0,0,0,0,1,0,1,83990,78612,5.3,8,224,26,30,2159,295,,
Dodge Dakota Regular Cab,0,0,0,0,1,0,1,35260,32528,3.7,6,157,26,35,1685,284,,
Dodge Dakota Club Cab,0,0,0,0,1,0,1,40600,37340,3.7,6,157,26,35,1737,333,,
Dodge Ram 1500 Regular Cab ST,0,0,0,0,1,0,1,40430,36152,3.7,6,160,26,34,2060,307,,
Ford F-150 Regular Cab XL,0,0,0,0,1,0,1,44020,38980,4.6,8,172,24,30,2172,320,,
Ford F-150 Supercab Lariat,0,0,0,0,1,1,0,67080,58810,5.4,8,224,23,29,2478,338,,
Ford Ranger 2.3 XL Regular Cab,0,0,0,0,1,0,1,28770,27434,2.3,4,107,39,47,1373,282,,
GMC Canyon Z85 SL Regular Cab,0,0,0,0,1,0,1,33060,29754,2.8,4,130,31,38,1520,282,,
GMC Sierra Extended Cab 1500,0,0,0,0,1,0,1,51434,45208,4.8,8,213,27,32,2063,366,,
GMC Sierra HD 2500,0,0,0,0,1,1,0,58644,51518,6,8,224,,,2468,338,,
GMC Sonoma Crew Cab,0,0,0,0,1,1,0,50790,46086,4.3,6,142,24,30,1852,312,,
Mazda B2300 SX Regular Cab,0,0,0,0,1,0,1,29680,28140,2.3,4,107,39,47,1343,284,,
Mazda B4000 SE Cab Plus,0,0,0,0,1,1,0,44700,40964,4,6,154,24,30,1620,320,,
Nissan Frontier King Cab XE V6,0,0,0,0,1,1,0,38958,36506,3.3,6,134,27,32,1784,295,,
Nissan Titan King Cab XE,0,0,0,0,1,1,0,53300,49852,5.6,8,227,23,29,2398,356,,
Subaru Baja,0,0,0,0,1,1,0,49040,44608,2.5,4,123,34,45,1581,264,,
Toyota Tacoma,0,0,0,0,1,0,1,25600,23758,2.4,4,106,35,43,1247,262,,
Toyota Tundra Regular Cab V6,0,0,0,0,1,0,1,32990,29956,3.4,6,142,26,32,1780,325,,
Toyota Tundra Access Cab V6 SR5,0,0,0,0,1,1,0,51870,47040,3.4,6,142,23,27,2012,325,,
